location,price,room,area
Бокина 24,23500000,3,58.
Карасай батыра 30,21000000,3,64.
Абая — Мелиаратор,35000000,3,73 
Светлова 9а — Стадион,19000000,2,52 
Бокина 15 — Майданбек,30000000,4,55.
Кашкари 16 2а — КазМунайГаз заправка,12500000,2,35.
Рускулова 66,6500000,1,18 
Бокина,17000000,2,36.
Рыскулова 218а — Спутник магазин,30000000,3,57 
Бокина,27000000,4,76 
Суйнбай 3а — Ртс,8000000,2,34 
Сатпаева,12000000,3,64 
Карасай батыра 26 — Менделеева,24000000,4,82 
Мелиоратор 5,25500000,4,83 
Ул.Рыскулова,18500000,2,45 
Карасай батыра 38 — Супермаркет Елена,16700000,2,48.
Промышленная — Некрасова,13500000,1,37.
Абая — Средняя школа №3,18000000,2,44.
Руставели 5,21000000,3,66.
Абая 116а,23500000,2,66 
Абая 78 А,23500000,2,57.
Промышленная 10 — Водоканал,17500000,2,51 
Кунаева — Бочка кафе шашлычная,25800000,3,65 
Мусрепова 57/1,22000000,3,69.
Бокина 15 — Налоговой,22000000,3,64 
Гагарина 102 — Напротив акимат,19000000,3,58 
Гагарина 102,18400000,3,56 
Карасай Батыра 28,17000000,2,47.
Қарасай батыр 22 — Поликлиника,27000000,3,55.
Рыскулова — Район спутника,20000000,3,70 
Менделеева 13,16500000,2,46 
Абая 78б — Дом расположен за цоном,30000000,2,62.
Махмута Кашкари 7 — Емелева,15000000,2,52 
Павлова 18 — Павлова,33000000,3,80 
Бокина 5,27000000,4,84 
Менделеева,23000000,4,82.
Суюнбая — Кунаева суюнбая,8800000,1,37 
Лермонтово 54,32500000,3,89.
Бокина 26 — Налоговая,22500000,3,60 
Абая 70,22000000,2,46 

